nodes	edges	pattern_desc	precision	recall	fscore	dir
\makecell{$A_1$: PT \\ $A_2$: patients}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)}	\makecell{$A_2$.expire\_flag=1}	0.65	0.72	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: patients\_admit\_info \\ $A_4$: patients}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_1$.prov\_admissions\_hadm\_\_id)=($A_3$.hadm\_id)\\($A_4$.subject\_id)=($A_3$.subject\_id)}	\makecell{$A_2$.expire\_flag=1 \\ $A_4$.expire\_flag=1}	0.65	0.72	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: patients\_admit\_info \\ $A_3$: patients}	\makecell{($A_1$.prov\_admissions\_hadm\_\_id)=($A_2$.hadm\_id)\\($A_3$.subject\_id)=($A_2$.subject\_id)}	\makecell{$A_3$.expire\_flag=1}	0.65	0.72	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: procedures \\ $A_3$: patients}	\makecell{($A_1$.prov\_admissions\_hadm\_\_id)=($A_2$.hadm\_id)\\($A_3$.subject\_id)=($A_2$.subject\_id)}	\makecell{$A_3$.expire\_flag=1}	0.66	0.71	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: icustays \\ $A_4$: patients}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_1$.prov\_admissions\_hadm\_\_id)=($A_3$.hadm\_id)\\($A_4$.subject\_id)=($A_3$.subject\_id)}	\makecell{$A_2$.expire\_flag=1 \\ $A_4$.expire\_flag=1}	0.65	0.72	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: icustays \\ $A_3$: patients}	\makecell{($A_1$.prov\_admissions\_hadm\_\_id)=($A_2$.hadm\_id)\\($A_3$.subject\_id)=($A_2$.subject\_id)}	\makecell{$A_3$.expire\_flag=1}	0.65	0.72	0.68	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: procedures \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_4$.hospital\_stay\_length<23.0 \\ $A_2$.expire\_flag=1}	0.65	0.66	0.65	2\\
\makecell{$A_1$: PT \\ $A_2$: procedures \\ $A_3$: patients}	\makecell{($A_1$.prov\_admissions\_hadm\_\_id)=($A_2$.hadm\_id)\\($A_3$.subject\_id)=($A_2$.subject\_id)}	\makecell{$A_1$.prov\_admissions\_hospital\_\_stay\_\_length<24.0 \\ $A_3$.expire\_flag=1}	0.66	0.63	0.65	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: icustays \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_4$.hospital\_stay\_length<16.0 \\ $A_2$.expire\_flag=1}	0.65	0.61	0.63	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: icustays \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_1$.prov\_admissions\_admission\_\_type=EMERGENCY \\ $A_4$.admission\_type=EMERGENCY}	0.5	0.81	0.62	13\\
