jg_details,jg,p_desc,precision,recall,fscore,is_user
1 :,,PT_1.prov_admissions_admission__type=EMERGENCY,0.8545086413,0.83764,0.846,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients",patients_3.expire_flag=1,0.913531904,0.57164,0.70324,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients",patients_3.expire_flag=1,0.9137026904,0.56814,0.70062,Medicare
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients","PT_1.prov_admissions_admission__type=EMERGENCY,patients_3.expire_flag=1",0.9111212695,0.50478,0.64964,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients",patients_3.gender=M,0.8245767477,0.53019,0.6454,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients",patients_3.gender=M,0.819778137,0.52121,0.63726,Medicare
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients",patients_3.gender=M,0.8189424555,0.52055,0.63652,Medicare
1 :,,PT_1.prov_admissions_marital__status=MARRIED,0.9270924468,0.45068,0.60652,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients","PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_hospital__stay__length<22.0,patients_3.expire_flag=1",0.9152155537,0.43491,0.58962,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","patients_3.gender=F,patients_admit_info_2.age>62.38",0.9716894977,0.41481,0.58142,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","PT_1.prov_admissions_admission__type=EMERGENCY,patients_3.expire_flag=1,patients_admit_info_2.age>66.96",0.99120917,0.40762,0.57768,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients","PT_1.prov_admissions_hospital__stay__length<20.0,patients_3.gender=F",0.8528488852,0.41486,0.5582,Medicare
1 :,,"PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_marital__status=MARRIED",0.9250929537,0.36155,0.5199,Medicare
