jg_details,jg_details,jg,p_desc,precision,recall,fscore,is_user
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","patients_3.expire_flag=0,patients_admit_info_2.age<70.86",0.7718405804,0.7727,0.77228,Private
1 :,1 :,,PT_1.prov_admissions_admission__type=EMERGENCY,0.6516129032,0.83764,0.733,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients",patients_3.expire_flag=0,0.6015840992,0.79215,0.68384,Private
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients",patients_3.expire_flag=0,0.5962357235,0.79878,0.6828,Private
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients","PT_1.prov_admissions_hospital__stay__length<22.0,patients_3.expire_flag=1",0.7785629417,0.5001,0.60902,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients",patients_3.gender=M,0.4840714537,0.60924,0.5395,Private
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients",patients_3.gender=F,0.5996108773,0.47945,0.53284,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients",patients_3.gender=M,0.4789540816,0.59862,0.53214,Private
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","patients_3.gender=M,patients_admit_info_2.age<64.72,patients_admit_info_2.ethnicity=WHITE",0.8297669995,0.38637,0.52724,Private
1 :,1 :,,PT_1.prov_admissions_marital__status=MARRIED,0.5597077336,0.45068,0.49932,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","PT_1.prov_admissions_hospital__stay__length<10.0,patients_3.expire_flag=0,patients_admit_info_2.ethnicity=WHITE",0.5942635756,0.42113,0.49294,Private
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients","PT_1.prov_admissions_hospital__stay__length<20.0,patients_3.gender=F",0.601619386,0.41486,0.49108,Medicare
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients","icustays_2.los>1.1306,patients_3.gender=M",0.5575641333,0.42069,0.47956,Medicare
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients","PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_hospital__stay__length<15.0,icustays_2.los<5.2349,patients_3.expire_flag=1",0.8,0.33632,0.47356,Medicare
"24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","24 : 1: PT, 2: patients_admit_info, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: patients_admit_info, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: patients_admit_info| 2: patients_admit_info, 3: patients","PT_1.prov_admissions_hospital__stay__length<12.0,patients_3.gender=F,patients_admit_info_2.age>48.08",0.7592104212,0.3367,0.4665,Medicare
"9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","9 : 1: PT, 2: procedures, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: procedures, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: procedures| 2: procedures, 3: patients","PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_hospital__stay__length<21.0,patients_3.gender=M",0.6072887621,0.37618,0.46458,Medicare
1 :,1 :,,"PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_marital__status=MARRIED",0.581518641,0.36155,0.44588,Medicare
1 :,1 :,,"PT_1.prov_admissions_admission__location=EMERGENCY ROOM ADMIT,PT_1.prov_admissions_admission__type=EMERGENCY,PT_1.prov_admissions_hospital__stay__length<12.0",0.6592786052,0.33103,0.44076,Medicare
1 :,1 :,,"PT_1.prov_admissions_hospital__stay__length>4.0,PT_1.prov_admissions_marital__status=MARRIED",0.5816579796,0.33223,0.4229,Medicare
"19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","19 : 1: PT, 2: icustays, cond: (A_1.""prov_admissions_hadm__id"")=(A_2.hadm_id)| 2: icustays, 3: patients, cond: (A_3.subject_id)=(A_2.subject_id)","1: PT, 2: icustays| 2: icustays, 3: patients","PT_1.prov_admissions_hospital__stay__length>4.0,icustays_2.los>1.111825,patients_3.gender=F",0.64968592,0.30684,0.41682,Medicare
