nodes	edges	pattern_desc	precision	recall	fscore	dir
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	1.0	1.0	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	1.0	1.0	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	1.0	1.0	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_minutes<42.6675 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	0.83	0.91	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_game\_away\_\_points>86.75 \\ $A_1$.prov\_player\_\_game\_\_stats\_efgpct>0.38 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	0.72	0.84	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_game\_away\_\_points>86.75 \\ $A_1$.prov\_player\_\_game\_\_stats\_efgpct>0.38 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	0.72	0.84	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_game\_away\_\_points>86.75 \\ $A_1$.prov\_player\_\_game\_\_stats\_minutes>36.3425 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary>1112880.0}	1.0	0.71	0.83	2014-15\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_away\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_game\_away\_\_points<102.0 \\ $A_1$.prov\_player\_\_game\_\_stats\_efgpct<0.58 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<2008748.0}	1.0	0.66	0.79	2013-14\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: player\_salary}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_home\_\_id)\\($A_1$.prov\_player\_player\_\_id)=($A_3$.player\_id)\\($A_1$.prov\_season\_season\_\_id)=($A_3$.season\_id)}	\makecell{$A_1$.prov\_game\_away\_\_points<102.0 \\ $A_1$.prov\_player\_\_game\_\_stats\_efgpct<0.58 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_3$.salary<2008748.0}	1.0	0.66	0.79	2013-14\\
\makecell{$A_1$: PT \\ $A_2$: team \\ $A_3$: team\_game\_stats \\ $A_4$: team}	\makecell{($A_2$.team\_id)=($A_1$.prov\_game\_winner\_\_id)\\($A_1$.prov\_game\_game\_\_date)=($A_3$.game\_date)\\($A_1$.prov\_game\_home\_\_id)=($A_3$.home\_id)\\($A_4$.team\_id)=($A_3$.team\_id)}	\makecell{$A_1$.prov\_player\_\_game\_\_stats\_usage<22.92 \\ $A_1$.prov\_season\_season\_\_type=regular season \\ $A_4$.team=CHI \\ $A_3$.assisted\_two\_spct>0.5}	0.72	0.84	0.77	2013-14\\
