size,f1_sample_rate,feature_reduct,lca,materialize_jg,refinment,f1_sample,jg_enumeration,f1_calc,total
0.1,0.1,25.28,1.35,13.66,1.03,0.94,18.29,2.91,63.46
0.1,0.3,25.2,1.34,14.06,1.08,1.25,18.25,4.72,65.9
0.1,0.5,25.29,1.35,13.68,1.35,1.19,18.35,8.4,69.61
0.1,0.7,25.32,1.35,13.96,1.67,1.35,18.43,13.89,75.97
0.5,0.1,30.53,3.14,16.41,8.5,8.37,18.28,35.99,121.22
0.5,0.3,30.6,3.13,16.32,11.84,9.48,18.49,84.7,174.56
0.5,0.5,31.19,3.14,17.47,12.59,10.68,18.35,103.31,196.73
0.5,0.7,30.52,3.1,17.15,12.13,11.64,18.29,131.83,224.66
2.0,0.1,88.72,18.62,29.78,41.72,49.25,18.33,129.94,376.36
2.0,0.3,88.87,19.49,30.57,55.08,55.98,18.47,278.74,547.2
2.0,0.5,88.31,19.11,31.34,52.55,65.04,18.73,352.09,627.17
2.0,0.7,89.43,18.98,32.29,52.37,69.37,18.29,441.16,721.89
4.0,0.1,109.8,29.23,47.4,85.19,104.23,18.55,239.18,633.58
4.0,0.3,107.25,28.93,47.15,103.85,122.24,18.46,488.35,916.23
4.0,0.5,110.65,28.65,48.95,96.34,141.79,18.41,681.33,1126.12
4.0,0.7,107.94,29.34,48.92,105.06,151.16,18.4,894.83,1355.65
8.0,0.1,117.92,48.42,83.22,159.81,227.46,18.51,455.89,1111.23
8.0,0.3,113.83,48.84,80.92,212.94,261.15,18.48,974.98,1711.14
8.0,0.5,118.49,49.08,84.25,197.46,292.96,18.54,1376.63,2137.41
8.0,0.7,115.32,49.06,83.79,217.37,322.35,18.42,1814.21,2620.52
