time,sample_size,sample_rate,num_match,apt_size,num_attrs,is_ref,apt
0.06,100,0.04,9,2621,2,0,1
2.25,1600,0.61,8,2621,2,0,1
0.08,200,0.08,8,2621,2,0,1
5.69,2600,0.99,10,2621,2,1,1
0.19,400,0.15,8,2621,2,0,1
0.15,50,0.02,6,2621,2,0,1
0.11,100,0.0,1,66282,2,0,2
290.9,12800,0.19,1,66282,2,0,2
392.95,15000,0.23,10,66282,2,1,2
2.2,1600,0.02,1,66282,2,0,2
0.15,200,0.0,1,66282,2,0,2
8.75,3200,0.05,1,66282,2,0,2
0.25,400,0.01,1,66282,2,0,2
0.12,50,0.0,1,66282,2,0,2
34.04,6400,0.1,1,66282,2,0,2
0.67,800,0.01,1,66282,2,0,2
