edge,sample_rate,runtime,ndcg_score
1,0.05,4.20,0.9230218740386927
1,0.1,4.20,0.7285904152461872
1,0.2,4.24,0.9714360807024852
1,0.3,4.19,0.9976300164211128
1,0.4,4.21,0.9725629355552736
1,0.5,4.21,0.9772251093023481
1,0.6,4.23,0.9979697553275362
1,0.7,4.22,0.9986582533946455
2,0.05,33.89,0.6857962877441494
2,0.1,37.33,0.7218096620896846
2,0.2,41.33,0.6311641976771386
2,0.3,44.41,0.7115043171055545
2,0.4,47.28,0.6763384894637571
2,0.5,49.53,0.7279021054050737
2,0.6,52.41,0.7672711775188353
2,0.7,55.38,0.737252766959188
3,0.05,254.71,0.6621733200407162
3,0.1,266.30,0.7504610404527975
3,0.2,326.68,0.6606310708437595
3,0.3,371.63,0.6844746434762753
3,0.4,394.41,0.7164828849066707
3,0.5,438.52,0.7208567006321964
3,0.6,453.63,0.753740399853161
3,0.7,489.48,0.7565745258822675
1,1.0,4.2,1
2,1.0,61.86,1
3,1.0,492.08,1
