max_edges,sample_rate,runtime
1,0.05,6.168957472
2,0.05,78.57930279
3,0.05,80.48515964
1,0.1,6.537052631
2,0.1,89.4499228
3,0.1,90.99654961
1,0.2,7.354994535
2,0.2,114.7366803
3,0.2,117.4939229
1,0.3,8.234274864
2,0.3,136.7613139
3,0.3,144.5308359
1,0.4,9.126749516
2,0.4,165.3736377
3,0.4,169.9435773
1,0.5,10.3273654
2,0.5,189.3223672
3,0.5,198.1313622
1,0.6,11.06945205
2,0.6,223.2805889
3,0.6,222.9866116
1,0.7,12.01889467
2,0.7,242.232064
3,0.7,249.9875836
1,1,15.31975889
2,1,297.2544549
3,1,285.4944065
