size,f1_sample_rate,feature_reduct,lca,f1_calculation,materialize_jg,refinment,f1_sample,jg_enumeration,totals
1,0.1,86.04,9.15,33.58,22.44,16.78,15.5,18.12,201.61
1,0.3,85.74,9.3,86.5,22.6,21.67,20.93,17.69,264.43
1,0.5,87.43,9.35,146.56,22.29,22.99,22.64,17.68,328.94
1,0.7,84.63,9.18,174.77,22,23.25,26.98,17.74,358.55
2,0.1,96.82,16.39,49.07,28.94,31.86,31.03,17.56,271.67
2,0.3,97.28,16.45,157.25,28.51,40.9,42.17,18.39,400.95
2,0.5,96.21,16.77,232.47,27.66,42.9,44.97,17.9,478.88
2,0.7,97.5,16.84,315.31,27.75,46.52,51.71,17.77,573.4
0.5,0.1,35.39,2.71,9.78,16.84,7.65,5.85,17.28,95.5
0.5,0.3,35.14,2.79,41.78,16.34,10.57,7.58,17.5,131.7
0.5,0.5,34.95,2.74,71.46,16.22,10.26,8.39,17.43,161.45
0.5,0.7,35.43,2.76,75.99,16.29,10.42,8.97,17.49,167.35
0.1,0.1,31.42,1.24,1.86,13.44,1.11,0.77,17.56,67.4
0.1,0.3,31.55,1.25,3.64,13.49,1.15,0.93,17.81,69.82
0.1,0.5,31.8,1.25,7.2,13.48,1.59,1.03,17.48,73.83
0.1,0.7,31.71,1.25,12.58,13.53,1.98,1.11,17.53,79.69
4,0.1,112.03,24.9,102.93,43.04,57.52,63.69,17.49,421.6
4,0.3,113.61,25.07,289.09,42.48,76.08,88.1,17.77,652.2
4,0.5,112.9,25.11,445.32,44.37,85.72,92.43,17.82,823.67
4,0.7,112.49,24.92,635.12,42.65,82.08,108.59,17.54,1023.39
8,0.1,120.85,42.19,166.38,73.42,129.74,129.24,17.98,679.8
8,0.3,120.62,42.07,564.86,71.41,162.9,182.75,17.51,1162.12
8,0.5,119.23,41.77,895.88,71.92,168.08,180.61,17.77,1495.26
8,0.7,121.19,42.17,1248.13,71.02,176.23,203.91,17.77,1880.42
