size,f1_sample_rate,feature_reduct,lca,f1_calculation,materialize_jg,refinment,f1_sample,jg_enumeration,rank_patterns,totals
0.1,0.1,13.55,6.42,2.35,2.79,1.16,0.66,0.24,0,27.17
0.1,0.3,13.47,6.6,7.78,2.8,1.6,1.01,0.24,0.01,33.51
0.1,0.5,13.44,6.43,11.86,2.57,1.57,0.97,0.23,0,37.07
0.1,0.7,13.49,6.4,15.86,2.57,1.67,1.6,0.24,0,41.83
0.5,0.1,18.82,15.39,9.19,4.61,6.2,3.16,0.24,0,57.61
0.5,0.3,18.92,15.23,36.05,4.61,8.12,4.13,0.24,0,87.3
0.5,0.5,18.92,15.06,56.82,4.7,7.96,4.77,0.24,0,108.47
0.5,0.7,18.93,15.13,89.63,4.37,8.22,5.58,0.24,0,142.1
1,0.1,19,16.3,18.36,6.69,12.87,6.55,0.24,0,80.01
1,0.3,19.09,16.42,68.4,6.77,15.65,8.38,0.24,0,134.95
1,0.5,19.13,16.47,109.43,6.71,15.29,10.36,0.24,0,177.63
1,0.7,18.99,16.46,161.91,6.66,15.49,11.68,0.24,0.01,231.44
2,0.1,19.43,18.99,36.57,18.03,25.58,14.3,0.24,0,133.14
2,0.3,19.6,19.02,141.89,12.93,32.73,17.3,0.23,0,243.7
2,0.5,19.57,19.08,243.51,11.16,32.9,21.04,0.24,0,347.5
2,0.7,19.63,19.17,328.08,12.41,32.63,23.91,0.24,0,436.07
4,0.1,20.64,23.93,75.92,27.88,51.25,26.27,0.23,0,226.12
4,0.3,20.74,24.3,282.28,21.75,63.34,36.38,0.24,0,449.03
4,0.5,20.77,24.57,500.62,20.58,67.14,41.64,0.24,0,675.56
4,0.7,20.85,24.6,611.08,21.31,66.84,51.25,0.24,0,796.17
8,0.1,23.14,34.66,153.68,52.57,104.64,53.65,0.24,0,422.58
8,0.3,23.12,34.05,571.29,42.72,133.55,76.18,0.24,0.01,881.16
8,0.5,22.93,33.95,854.62,40.9,128.31,90.07,0.24,0,1171.02
8,0.7,23.05,34.74,1133.01,43.18,133.31,102.16,0.24,0,1469.69
