size,f1_sample_rate,feature_reduct,lca,materialize_jg,refinment,f1_sample,jg_enumeration,f1_calc,total
0.1,0.1,13.56,6.3,2.6,1.76,0.67,0.24,5.21,30.34
0.1,0.3,13.44,6.29,2.58,1.6,0.82,0.23,8.25,33.21
0.1,0.5,13.5,6.41,2.58,1.72,0.96,0.24,12.29,37.7
0.1,0.7,13.46,6.36,2.57,1.63,1.07,0.24,16.38,41.71
0.5,0.1,18.74,14.94,4.31,8.84,3.12,0.24,24.42,74.61
0.5,0.3,18.9,15.1,4.59,8.99,4.13,0.24,45.02,96.97
0.5,0.5,18.78,14.94,4.36,8.46,5.48,0.24,61.55,113.81
0.5,0.7,18.87,14.96,4.36,8.81,5.32,0.23,84.04,136.59
1,0.1,19,16.97,6.65,17.62,6.93,0.24,56.94,124.35
1,0.3,19.11,17.08,6.55,18.34,8.72,0.24,114,184.04
1,0.5,19.11,17.25,7.07,18.58,9.52,0.24,177.58,249.35
1,0.7,18.98,17.23,7.09,18.5,12.49,0.24,238.91,313.44
2,0.1,19.82,18.91,11.86,34.63,12.7,0.24,90.8,188.96
2,0.3,19.58,18.77,11.27,32.47,16.65,0.23,161.66,260.63
2,0.5,19.6,19.05,11.43,33.43,19.64,0.24,242.5,345.89
2,0.7,19.78,18.76,12.21,32.66,23.08,0.23,308.82,415.54
4,0.1,20.83,24.27,22.73,67.95,25.83,0.23,177.67,339.51
4,0.3,20.84,24.25,23,65.2,34.82,0.24,307.08,475.43
4,0.5,20.69,24.09,21.59,71.11,39.16,0.23,466.78,643.65
4,0.7,20.74,24.27,21.47,63.24,50.46,0.24,533.24,713.66
8,0.1,23.01,34.09,44.58,133.56,52.4,0.24,309.2,597.08
8,0.3,23.22,34.17,44.53,139.81,75.67,0.24,533.71,851.35
8,0.5,22.99,34.53,44.01,131.73,86.16,0.23,779.51,1099.16
8,0.7,23.03,34.06,46.57,133.07,101.59,0.23,1023.83,1362.38
