size,f1_sample_rate,feature_reduct,lca,materialize_jg,refinment,f1_sample,jg_enumeration,f1_calc,total
0.1,0.1,31.18,1.19,13.22,0.96,1.2,17.18,2.63,67.56
0.1,0.3,32.71,1.19,13.29,0.99,0.94,17.35,4.21,70.68
0.1,0.5,33.36,1.2,13.3,1.24,1.01,17.31,7.56,74.98
0.1,0.7,33.16,1.19,13.32,1.49,1.1,17.48,12.3,80.04
0.5,0.1,35.2,2.64,16.09,7.56,6,17.28,32.24,117.01
0.5,0.3,34.61,2.7,16.07,9.89,8.03,17.23,61.78,150.31
0.5,0.5,34.56,2.74,16.25,10.32,8.4,17.37,86.02,175.66
0.5,0.7,35.21,2.73,16.25,10.62,8.91,17.39,120.46,211.57
1,0.1,87.33,8.98,20.86,17.83,15.31,17.33,92.97,260.61
1,0.3,84.77,9.1,21.27,24.06,20.4,17.34,140.26,317.2
1,0.5,85.04,8.92,22.39,22.66,22,17.41,200.3,378.72
1,0.7,86.5,9.01,21.5,22.78,26.37,17.41,239.76,423.33
2,0.1,97.26,16.22,29.67,32.17,31.25,17.8,106.62,330.99
2,0.3,99.04,16.01,27.9,44.26,43.26,17.22,243.34,491.03
2,0.5,96.16,16.31,29.31,44.39,46.48,17.37,301.02,551.04
2,0.7,96.4,16.14,29.69,44.01,52.97,17.38,378.51,635.1
4,0.1,112.62,24.44,45.38,70.93,64.06,17.7,213.89,549.02
4,0.3,113.7,24.94,43.99,81.36,88.91,17.35,417.09,787.34
4,0.5,112.35,24.37,43.51,86.09,94.03,17.44,584.9,962.69
4,0.7,109.89,24.44,44.75,87.99,104.02,17.28,776.28,1164.65
8,0.1,115.64,41.92,71.46,127.25,131.14,17.33,388.98,893.72
8,0.3,117.44,41.31,71.24,162.64,186.29,17.61,822.88,1419.41
8,0.5,117.75,40.63,69.68,168.16,182.86,17.57,1154.25,1750.9
8,0.7,119.8,41.1,71.62,165.4,211.54,17.62,1520.19,2147.27
