f1_sample_rate,maximum_edges,feature_reduct,lca,materialize_jg,refinment,f1_sample,jg_enumeration,f1_calc,total
0.1,1,3.31,0.06,1.01,0,0.01,0.04,0.06,4.49
0.1,2,26.73,1.28,2.65,2.51,0.5,0.76,5.19,39.62
0.1,3,86.23,9.09,22.12,18.54,15.76,17.83,76.52,246.09
0.2,1,3.31,0.05,1.01,0,0.01,0.04,0.06,4.48
0.2,2,26.81,1.26,2.7,2.92,0.59,0.74,8.15,43.17
0.2,3,84.93,9.02,21.7,22.82,18.19,17.75,118.73,293.14
0.3,1,3.33,0.05,1.01,0,0.01,0.04,0.06,4.5
0.3,2,26.62,1.28,2.65,3,0.62,0.75,10.84,45.76
0.3,3,85.12,9.12,21.58,23.29,21.11,17.69,149.03,326.94
0.4,1,3.32,0.06,1.01,0,0.01,0.04,0.07,4.51
0.4,2,26.92,1.33,2.69,2.84,0.65,0.74,13.43,48.6
0.4,3,84.75,9.06,20.96,23.61,22.94,17.36,151.72,330.4
0.5,1,3.31,0.06,1.01,0,0.01,0.04,0.07,4.5
0.5,2,26.6,1.28,2.65,2.85,0.66,0.75,15.86,50.65
0.5,3,84.53,9.1,21.47,23.72,21.8,17.57,194.23,372.42
0.6,1,3.32,0.06,1.01,0,0.01,0.04,0.07,4.51
0.6,2,26.82,1.34,2.65,2.91,0.7,0.75,18.59,53.76
0.6,3,85.21,8.98,22.26,23.36,25.11,17.35,220.63,402.9
0.7,1,3.32,0.06,1.01,0,0.01,0.04,0.07,4.51
0.7,2,27.05,1.33,2.66,2.89,0.74,0.76,21.3,56.73
0.7,3,83.57,8.93,21.19,23.1,24.38,17.61,247.41,426.19
1,1,3.31,0.05,1,0,0,0.04,0.07,4.47
1,2,27.01,1.3,2.64,2.87,0,0.74,27.32,61.88
1,3,87.05,8.98,21.55,24.14,0,17.32,268.68,427.72
