APT,APT_name,runtime,sample_size,samplerate,match_rate,apt_size,num_attrs
1,new_test_jg_31,0.09,10,0,1,66282,2
1,new_test_jg_31,0.1,100,0,1,66282,2
1,new_test_jg_31,0.13,200,0,1,66282,2
1,new_test_jg_31,0.22,400,0.01,1,66282,2
1,new_test_jg_31,0.61,800,0.01,1,66282,2
1,new_test_jg_31,2.1,1600,0.02,1,66282,2
1,new_test_jg_31,8.37,3200,0.05,2,66282,2
1,new_test_jg_31,32.75,6400,0.1,1,66282,2
1,new_test_jg_31,130.52,12800,0.19,3,66282,2
2,test_jg_288,0.04,20,0.01,3,2621,2
2,test_jg_288,0.04,50,0.02,6,2621,2
2,test_jg_288,0.05,100,0.04,6,2621,2
2,test_jg_288,0.07,200,0.08,8,2621,2
2,test_jg_288,0.18,400,0.15,9,2621,2
2,test_jg_288,0.57,800,0.31,10,2621,2
2,test_jg_288,2.18,1600,0.61,10,2621,2
3,test_jg_1,0.1,20,0,7,50797,10
3,test_jg_1,0.1,50,0,9,50797,10
3,test_jg_1,0.12,100,0,9,50797,10
3,test_jg_1,0.17,200,0,9,50797,10
3,test_jg_1,0.39,400,0.01,9,50797,10
3,test_jg_1,1.28,800,0.02,10,50797,10
3,test_jg_1,4.78,1600,0.03,10,50797,10
3,test_jg_1,19.06,3200,0.06,10,50797,10
3,test_jg_1,75.2,6400,0.13,10,50797,10
4,test_jg_9,0.59,10,0,5,210184,10
4,test_jg_9,0.55,20,0,9,210184,18
4,test_jg_9,0.56,50,0,6,210184,18
4,test_jg_9,0.58,100,0,8,210184,18
4,test_jg_9,0.68,200,0,10,210184,18
4,test_jg_9,1.03,400,0,8,210184,18
4,test_jg_9,2.45,800,0,8,210184,18
4,test_jg_9,8.07,1600,0.01,10,210184,18
4,test_jg_9,30.45,3200,0.02,10,210184,18
4,test_jg_9,120.01,6400,0.03,10,210184,18
4,test_jg_9,480.75,12800,0.06,10,210184,18
5,test_jg_24,0.16,10,0,3,50797,19
5,test_jg_24,0.16,20,0,5,50797,19
5,test_jg_24,0.16,50,0,8,50797,19
5,test_jg_24,0.19,100,0,7,50797,19
5,test_jg_24,0.3,200,0,9,50797,19
5,test_jg_24,0.68,400,0.01,8,50797,19
5,test_jg_24,2.21,800,0.02,9,50797,19
5,test_jg_24,8.32,1600,0.03,10,50797,19
5,test_jg_24,32.35,3200,0.06,10,50797,19
5,test_jg_24,128.29,6400,0.13,9,50797,19
