APT,result_schema,time,sample_size,sample_rate,num_match,apt_size,num_attrs,is_ref
1,lca_jg_288,0.04,50,0.02,9,2621,2,0
1,lca_jg_288,0.05,100,0.04,6,2621,2,0
1,lca_jg_288,0.07,200,0.08,8,2621,2,0
1,lca_jg_288,0.18,400,0.15,8,2621,2,0
1,lca_jg_288,0.59,800,0.31,9,2621,2,0
1,lca_jg_288,2.09,1600,0.61,10,2621,2,0
1,lca_jg_288,5.61,2600,0.99,10,2621,2,1
2,lca_jg_31,0.1,50,0,1,66282,2,0
2,lca_jg_31,0.1,100,0,1,66282,2,0
2,lca_jg_31,0.12,200,0,1,66282,2,0
2,lca_jg_31,0.23,400,0.01,1,66282,2,0
2,lca_jg_31,0.62,800,0.01,1,66282,2,0
2,lca_jg_31,2.13,1600,0.02,1,66282,2,0
2,lca_jg_31,8.23,3200,0.05,1,66282,2,0
2,lca_jg_31,32.36,6400,0.1,1,66282,2,0
2,lca_jg_31,128.72,12800,0.19,1,66282,2,0
2,lca_jg_31,179.52,15000,0.23,10,66282,2,1
3,lca_jg_1,0.1,50,0,9,50797,10,0
3,lca_jg_1,0.11,100,0,9,50797,10,0
3,lca_jg_1,0.17,200,0,9,50797,10,0
3,lca_jg_1,0.39,400,0.01,10,50797,10,0
3,lca_jg_1,1.27,800,0.02,10,50797,10,0
3,lca_jg_1,4.8,1600,0.03,10,50797,10,0
3,lca_jg_1,18.59,3200,0.06,10,50797,10,0
3,lca_jg_1,73.61,6400,0.13,10,50797,10,0
3,lca_jg_1,296.37,12800,0.25,10,50797,10,0
3,lca_jg_1,434.87,15000,0.3,10,50797,10,1
4,lca_jg_24,0.16,50,0,7,50797,19,0
4,lca_jg_24,0.2,100,0,8,50797,19,0
4,lca_jg_24,0.29,200,0,8,50797,19,0
4,lca_jg_24,0.68,400,0.01,9,50797,19,0
4,lca_jg_24,2.22,800,0.02,9,50797,19,0
4,lca_jg_24,8.29,1600,0.03,9,50797,19,0
4,lca_jg_24,32.83,3200,0.06,9,50797,19,0
4,lca_jg_24,128.84,6400,0.13,10,50797,19,0
4,lca_jg_24,524.2,12800,0.25,10,50797,19,0
4,lca_jg_24,757.11,15000,0.3,10,50797,19,1
5,lca_jg_9,0.6,50,0,8,210184,18,0
5,lca_jg_9,0.63,100,0,8,210184,18,0
5,lca_jg_9,0.69,200,0,9,210184,18,0
5,lca_jg_9,1.08,400,0,9,210184,18,0
5,lca_jg_9,2.48,800,0,9,210184,18,0
5,lca_jg_9,8.09,1600,0.01,10,210184,18,0
5,lca_jg_9,31.2,3200,0.02,9,210184,18,0
5,lca_jg_9,121.54,6400,0.03,10,210184,18,0
5,lca_jg_9,490.42,12800,0.06,9,210184,18,0
5,lca_jg_9,679.04,15000,0.07,10,210184,18,1
