size,f1_sample_rate,feature_reduct,lca,materialize_jg,refinment,f1_sample,jg_enumeration,f1_calc,total
0.1,0.1,32.88,1.22,14.34,0.97,0.77,17.51,2.65,70.34
0.1,0.3,33.5,1.18,14.18,1.0,0.95,17.68,4.2,72.69
0.1,0.5,33.09,1.19,14.2,1.25,1.02,17.47,7.67,75.89
0.1,0.7,31.46,1.23,14.16,1.51,1.11,17.46,12.43,79.36
0.5,0.1,35.27,2.72,17.2,7.4,6.16,17.49,32.17,118.41
0.5,0.3,34.95,2.71,16.79,10.25,7.74,17.33,67.4,157.17
0.5,0.5,35.55,2.67,16.64,10.56,8.46,17.73,84.4,176.01
0.5,0.7,35.38,2.7,16.57,10.63,9.65,17.58,118.79,211.3
1.0,0.1,65.07,6.2,19.61,17.59,15.06,18.46,87.94,229.93
1.0,0.3,65.04,6.08,19.46,22.15,19.36,18.37,123.76,274.22
1.0,0.5,64.73,6.27,19.35,21.91,20.35,18.93,195.86,347.4
1.0,0.7,64.71,6.19,20.19,23.03,24.39,18.76,236.43,393.7
2.0,0.1,96.91,16.06,31.23,35.17,31.5,17.39,121.17,349.43
2.0,0.3,96.68,16.35,28.6,44.09,42.13,17.46,230.5,475.81
2.0,0.5,96.29,16.27,28.14,44.92,45.03,17.35,300.12,548.12
2.0,0.7,97.33,16.17,29.14,42.3,52.03,17.33,379.47,633.77
4.0,0.1,111.34,24.23,49.55,68.63,65.77,17.47,208.88,545.87
4.0,0.3,112.0,24.09,43.26,79.98,87.79,17.86,411.96,776.94
4.0,0.5,114.11,24.4,41.62,85.41,92.32,17.8,581.18,956.84
4.0,0.7,113.58,24.51,42.73,85.26,103.19,17.6,759.61,1146.48
8.0,0.1,119.34,41.12,84.79,126.38,129.65,17.3,385.4,903.98
8.0,0.3,120.84,41.4,80.18,157.27,187.0,17.39,825.56,1429.64
8.0,0.5,120.78,40.71,70.77,155.78,183.99,17.3,1180.99,1770.32
8.0,0.7,118.9,40.77,77.7,160.58,208.28,17.18,1524.23,2147.64
